"Scenario","Agents","PatientYears","CopdPYs","NCaseDetections","DiagnosedPYs","OverdiagnosedPYs","SABA","LAMA","LAMALABA","ICSLAMALABA","Mild","Moderate","Severe","VerySevere","MildPY","ModeratePY","SeverePY","VerySeverePY","NoCOPD","GOLD1","GOLD2","GOLD3","GOLD4","Cost","CostpAgent","QALY","QALYpAgent","NMB","IncrementalCosts","IncrementalQALY","ICER","IncrementalNMB"
"S3NoCD",34491937,520096793.944658,83394436.3897572,104866546,15798843.6062051,14116443,0.0221440059305719,0.13704346682043,0.154368086406791,0.0863943143443837,19479590,3630576,6075819,523166,0.233583807784959,0.0435349905481935,0.0728564070102194,0.00627339211880875,414917152,30599570,37365292,9614469,1790750,99999943602.2554,2899.22666860534,387044338.939967,11.2212990224343,558165.724453112,0,0,NA,0
"S3a",34494037,520214111.090036,83457292.8145667,104351592,20245608.2892442,14129448,0.0240307345372679,0.14177714164029,0.189041590205167,0.0894698764862355,19332282,3614629,6055063,518761,0.231642812126129,0.0433111221092604,0.0725528326620145,0.00621588578427331,414968911,30599997,37426814,9615582,1787056,104115381915.72,3018.35885187112,387129436.181306,11.2230828818705,558135.785241652,119.132183265779,0.00178385943610948,66783.3915914365,-29.9392114602961
"S3b",34509196,520537137.764278,83620080.9934994,103218767,29823148.4264926,14132996,0.0287201148667908,0.151759070463881,0.258228121857447,0.0959834805484866,19135380,3582069,6004729,516649,0.228837137834004,0.0428374256212269,0.0718096530002979,0.00617852785911753,415119150,30640730,37483240,9661621,1802895,107308147372.611,3109.55222986393,387360806.316069,11.2248574645457,558133.320997419,210.325561258588,0.0035584421113164,59106.0791995802,-32.4034556926927
"S3c",34504471,520423616.303641,83513343.4596301,103824096,24853846.8628113,14121585,0.0261578150769642,0.14647414308412,0.223082059564315,0.0926287674905986,19220385,3595075,6024956,518536,0.23014747349076,0.0430479112806427,0.0721436329861758,0.00620901976281979,415113845,30619979,37421385,9639642,1802009,105270593424.191,3050.92616618268,387285272.489227,11.2242054801891,558159.347843274,151.699497577334,0.00290645775477927,52193.9454746539,-6.37660983845126
"S3d",34501231,520389346.039061,83507083.8292405,104079260,22711873.9482136,14135933,0.0251554674459531,0.144172895875718,0.20738377463961,0.0911334097630808,19266710,3605577,6035420,519637,0.230719468535119,0.0431768999067536,0.0722743475552509,0.00622266969665208,415086795,30631737,37413709,9638221,1794998,105602366017.679,3060.82893151492,387258904.837192,11.2244952893765,558163.935537312,161.602262909575,0.00319626694218123,50559.6891101007,-1.78891580039635
