"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S3b",34509196,107308147372.611,3109.55222986393,387545996.216555,11.2302238573322,34475.9053760666,94.7071260114899
"S3c",34504471,105270593424.191,3050.92616618268,387439706.531714,11.228681249213,33281.6979072271,76.2027837308124
"S3d",34501231,105602366017.679,3060.82893151492,387400039.510324,11.2285860035059,36210.9585552116,61.5377330438932
"S2a",44154576,124844786046.661,2827.44841772824,541668367.876313,12.2675477141104,36877.581059697,56.7618341315538
"S3a",34494037,104115381915.72,3018.35885187112,387255176.847052,11.2267281689021,45732.7330108349,11.116082497756
"S1a",74386318,175298229824.161,2356.5923752828,933114769.757555,12.5441720311732,49922.8867922169,0.316491594421677
"S1NoCD",74388425,160061317735.961,2151.6965540803,932835891.913233,12.5400677849173,NA,0
"S2NoCD",44157029,117807957834.59,2667.93216170838,541507456.212879,12.2632221523074,NA,0
"S3NoCD",34491937,99999943602.2554,2899.22666860534,387141750.418356,11.2241232035868,NA,0
"S1b",74385413,170952563916.074,2298.20010431446,932959011.793074,12.5422307165664,67733.7863611725,-38.3569677789928
"S1c",74390720,171904343831.839,2310.83048842435,932972380.189837,12.5415156647205,109908.249280705,-86.7399441815214
