"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S1NoCD",74388747,159789813677.717,2148.0374400945,932633078.268806,12.5372871016204,NA,0
"S2NoCD",44156404,117605933754.634,2663.39473102553,541420336.358576,12.2614227453525,NA,0
"S3NoCD",34500334,99842281257.7915,2893.95115009007,387162459.809839,11.2219916424531,NA,0
"S1b",74383024,175747140583.673,2362.73185913594,932727595.687409,12.5395224008022,96047.2856566701,-102.929459951934
"S3a",34507415,106095806862.256,3074.57996671892,387293058.365321,11.2234735162086,121892.17600221,-106.535128849675
"S3d",34507664,108255487965.337,3137.14333040154,387331029.29616,11.2244928922503,97228.2658790675,-118.12969045178
"S1a",74380275,181401075128.178,2438.8330794445,932778303.079907,12.5406675772563,86022.1077367553,-121.771857556654
"S2a",44164773,127735308298.483,2892.24419422426,541606918.406355,12.2633239483956,120370.869400854,-133.789311046479
"S1c",74393892,177409072797.107,2384.72632668697,932831879.991261,12.5390923221393,131113.558769212,-146.427860648837
"S3b",34499539,110363699543.429,3198.99055878484,387254556.786523,11.2249197528849,104176.196831955,-158.633887102013
"S3c",34496334,107627143927.157,3119.95888975209,387132897.173568,11.2224359021329,508728.903183803,-203.794755669194
