"Scenario","Agents","PatientYears","CopdPYs","NCaseDetections","DiagnosedPYs","OverdiagnosedPYs","SABA","LAMA","LAMALABA","ICSLAMALABA","Mild","Moderate","Severe","VerySevere","MildPY","ModeratePY","SeverePY","VerySeverePY","NoCOPD","GOLD1","GOLD2","GOLD3","GOLD4","Cost","CostpAgent","QALY","QALYpAgent","NMB","IncrementalCosts","IncrementalQALY","ICER","IncrementalNMB"
"S3NoCD",34502794,520253318.264247,83427314.0577244,160207265,15553450.7654625,11626101,0.0134251169140478,0.109121884190935,0.124490333231601,0.067457308763306,19673795,3670389,6139626,527437,0.235819590049219,0.0439950517579939,0.0735925166636902,0.00632211411762651,415033734,30592843,37403869,9619950,1786638,98426416970.7859,2852.70859428908,387439852.221899,11.2292312391251,558608.853361968,0,0,NA,0
"S3a",34508239,520351391.502309,83468518.649366,158678663,21955533.8079068,11636296,0.0155384640383143,0.114601853176383,0.163197880792786,0.0712095416428117,19505626,3646545,6110289,526009,0.233688417089791,0.0436876688241993,0.0732047135719284,0.00630188493232587,415087952,30592954,37416871,9641580,1791150,104309434611.023,3022.74000742324,387629748.619156,11.2329623258711,558625.376286132,170.031413134156,0.00373108674596345,45571.5518590148,16.5229241640773
"S3b",34501593,520349265.402701,83557683.1768789,155592203,34356920.4283029,11633489,0.0203906286879415,0.125224803118026,0.232261333279687,0.0779250511168617,19244874,3613864,6067132,523651,0.230318425168174,0.04324993061799,0.0726101032164428,0.00626694015547931,415000581,30606946,37437945,9674105,1807299,108125502672.91,3133.9278355324,387839467.33519,11.2412046404695,558926.304187943,281.21924124332,0.0119734013443775,23486.9969823049,317.450825975626
"S3c",34499405,520280918.79732,83498477.6576384,157140866,28097564.7492472,11620922,0.0177943584333183,0.119793221726453,0.198291135288748,0.0745097395293538,19346474,3630565,6083174,525621,0.231698523646439,0.0434806130823857,0.0728537114765411,0.00629497704323615,414994253,30611419,37417741,9649619,1791264,105591264772.796,3060.66915567952,387687155.605703,11.2375026643417,558814.464061404,207.960561390434,0.0082714252165399,25142.0469805599,205.610699436511
"S3d",34510053,520465748.887746,83500927.8698038,157881436,25327683.9952915,11637772,0.0167272326445557,0.117624125711069,0.182750395514229,0.0732243282941502,19415167,3642205,6106804,523886,0.232514386310443,0.0436187368561819,0.0731345645586339,0.00627401411415275,415168132,30586635,37447836,9640182,1797947,106395250599.573,3083.02194144915,387774692.437937,11.2365719182737,558745.573972235,230.31334716007,0.00734067914855174,31374.9371821419,136.720610267483
