"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S1a",74380275,210298062988.674,2827.33645430423,1061052827.37569,14.2652447490371,18518.3920466481,562.130433781189
"S3b",34499539,127296658688.636,3689.80752724366,437670760.97409,12.6862785318404,19110.8153959055,557.811553591629
"S2a",44164773,147612114723.849,3342.30439096446,615416265.999239,13.9345506428673,20087.1603808086,386.476283001481
"S1b",74383024,203807677144.238,2739.97568510038,1060522850.47389,14.2575925721155,23844.4463327645,266.882356906775
"S3c",34496334,124195481660.429,3600.25159950123,437363545.965671,12.6785514647925,24735.8596342475,261.014128939831
"S3d",34507664,124862452608.862,3618.39771619609,437518341.968706,12.6788745238943,25688.9784048922,259.020967338234
"S3a",34507415,122423689898.09,3547.7502414507,437381358.392527,12.6749963273843,29965.5835742348,135.758616583073
"S1c",74393892,205585395445.529,2763.47143453026,1060470315.25251,14.2548035429107,35982.4230321943,103.935147233657
"S1NoCD",74388747,185724530860.355,2496.67507990631,1059845409.25035,14.2473889128735,NA,0
"S2NoCD",44156404,136124332102.838,3082.77667046524,614729143.469625,13.9216305627973,NA,0
"S3NoCD",34500334,115393106843.54,3344.69535406642,437057823.162521,12.668220057305,NA,0
