"Scenario","Agents","PatientYears","CopdPYs","NCaseDetections","DiagnosedPYs","OverdiagnosedPYs","SABA","LAMA","LAMALABA","ICSLAMALABA","Mild","Moderate","Severe","VerySevere","MildPY","ModeratePY","SeverePY","VerySeverePY","NoCOPD","GOLD1","GOLD2","GOLD3","GOLD4","Cost","CostpAgent","QALY","QALYpAgent","NMB","IncrementalCosts","IncrementalQALY","ICER","IncrementalNMB"
"S3NoCD",34502440,520177374.704057,83288407.0237509,104908455,15661289.4618393,14135802,0.0100120424321103,0.0750085482122166,0.087344383282754,0.0453817912072028,19826985,3706216,6213665,535510,0.238052157659181,0.0444985818847888,0.0746042002967842,0.00642958629101036,415093326,30593267,37328780,9576983,1772963,96697364696.0905,2802.62395054062,387312972.356076,11.2256690354675,558480.827822836,0,0,NA,0
"S3a",34501084,520245171.455495,83348693.8783883,104384910,20113104.1363514,14124145,0.0109697777056204,0.077734545890985,0.105104706695179,0.0472081573058563,19748456,3702994,6203712,533360,0.236937798075329,0.0444277387885997,0.0744308244236155,0.00639914046857423,415103522,30601247,37357962,9595849,1774560,100428493200.773,2910.87935674058,387409705.579357,11.2289140126541,558534.821275965,108.25540619996,0.00324497718659167,33360.9144148298,53.9934531296603
"S3b",34495213,520110366.695589,83374690.8140157,103170976,29634287.1019671,14117551,0.0134159220691575,0.0837028541455788,0.140934398626471,0.0509512170648781,19609673,3681303,6177742,532928,0.235199348969622,0.044153722959068,0.0740961308483976,0.00639196373380028,414947630,30571379,37364980,9620898,1794407,102718833654.254,2977.77067369474,387416610.863236,11.2310253269993,558573.495676272,175.146723154126,0.00535629153180395,32699.2513596694,92.6678534360835
"S3c",34507426,520376676.351998,83400917.6213833,103840687,24713925.0281904,14135287,0.0120970712106438,0.0806188602373929,0.122824477309489,0.0490165907350539,19688531,3694729,6200596,533573,0.23607091578273,0.0443008195278262,0.074346855848145,0.00639768740222106,415177824,30584838,37390715,9618238,1785032,101292949729.643,2935.39569510758,387556697.997897,11.23111002246,558620.105427893,132.771744566961,0.00544098699249496,24402.1433519508,139.277605057927
"S3d",34496069,520150793.620932,83359924.7013655,104057214,22569078.1555881,14135594,0.011552107829619,0.0791524772313399,0.114562899209954,0.048124653448018,19714856,3694676,6199833,532885,0.236502804802522,0.044321969018519,0.0743742634390653,0.00639258015058249,414998725,30594011,37372808,9594607,1778055,101700345888.359,2948.17203340934,387367057.30157,11.2293101368034,558517.334806761,145.54808286872,0.00364110133587836,39973.6424346479,36.5069839252392
