"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S1a",74384605,177342392759.444,2384.12763984488,933910625.769755,12.5551601137057,22514.2355821656,330.339087117696
"S3b",34501593,108125502672.91,3133.9278355324,387839467.33519,11.2412046404695,23486.9969823049,317.450825975626
"S3c",34499405,105591264772.796,3060.66915567952,387687155.605703,11.2375026643417,25142.0469805599,205.610699436511
"S2a",44160949,125061550641.319,2831.94889315714,542188778.822058,12.2775617621365,26379.3169687102,190.486692215898
"S3d",34510053,106395250599.573,3083.02194144915,387774692.437937,11.2365719182737,31374.9371821419,136.720610267483
"S1b",74380901,172345014249.978,2317.06005080495,933455775.672612,12.5496701857996,31173.6316387747,122.910280852113
"S3a",34508239,104309434611.023,3022.74000742324,387629748.619156,11.2329623258711,45571.5518590148,16.5229241640773
"S1c",74388307,174452822866.704,2345.16458166878,933418442.786909,12.547918892507,48484.2821741104,7.24108535645064
"S1NoCD",74392407,157231263186.716,2113.53913023295,933114492.121893,12.5431415617711,NA,0
"S2NoCD",44169627,115689770204.655,2619.21546687852,541939121.858374,12.2694973597666,NA,0
"S3NoCD",34502794,98426416970.7859,2852.70859428908,387439852.221899,11.2292312391251,NA,0
