"Scenario","Agents","PatientYears","CopdPYs","NCaseDetections","DiagnosedPYs","OverdiagnosedPYs","SABA","LAMA","LAMALABA","ICSLAMALABA","Mild","Moderate","Severe","VerySevere","MildPY","ModeratePY","SeverePY","VerySeverePY","NoCOPD","GOLD1","GOLD2","GOLD3","GOLD4","Cost","CostpAgent","QALY","QALYpAgent","NMB","IncrementalCosts","IncrementalQALY","ICER","IncrementalNMB"
"S3NoCD",17254548,260185517.250271,41753986.9530892,52456874,7922835.39457538,7061036,0.0221592886073816,0.13726133321656,0.154573171523665,0.0864947424330528,9767617,1818208,3040076,262205,0.233932558607492,0.043545733777298,0.0728092386342779,0.00627975959025394,207533583,15301679,18724752,4815426,897482,57864310923.5952,3353.56863150488,218572819.44283,12.6675482570062,630023.844218806,0,0,NA,0
"S3a",17251608,260177737.708618,41735216.681199,52193377,10112285.5219638,7056308,0.0239901655742498,0.141620447019917,0.188896901320193,0.0892874240346538,9673981,1809610,3026757,259927,0.23179419610772,0.0433593052558704,0.0725228533763311,0.00622800168944835,207543323,15307443,18697708,4818609,897810,60089152167.6302,3483.1044252588,218633446.064064,12.673221305751,630177.960862291,129.535793753925,0.00567304874478936,22833.5414662006,154.116643485613
"S3b",17246874,260180750.367826,41770771.1055183,51592135,14901907.2426103,7060341,0.0287001627876402,0.151909252445312,0.258476623670136,0.0962303406481393,9537491,1786791,3000373,258790,0.228329301748035,0.0427761076156898,0.0718294855611038,0.00619548055137079,207513062,15306657,18723252,4827550,898750,61869748507.0021,3587.30216890331,218763932.889481,12.6842657335747,630625.984509833,233.733537398428,0.0167174765685054,13981.3886647681,602.14029102691
"S3c",17246125,260144349.893699,41792941.9345714,51894923,12432862.6252413,7060467,0.0261601311174318,0.146548593395628,0.223441477763239,0.0926749735395,9621451,1801612,3014035,259735,0.23021712649621,0.0431080444832167,0.0721182778833468,0.00621480537088358,207459068,15294280,18748666,4834049,901039,60807623937.5119,3525.87169219241,218659411.906197,12.6787560629531,630411.931455463,172.303060687534,0.0112078059468885,15373.4871485144,388.087236656924
"S3d",17255729,260233693.824386,41777900.3893267,52047317,11356969.6042882,7062160,0.0251240111093077,0.14426968081771,0.207339855216131,0.0910648854849654,9643777,1802264,3018596,260225,0.23083441030138,0.0431391712653046,0.0722534156065723,0.00622877161310102,207557193,15328896,18715546,4823282,894293,60941413667.9918,3531.66265348696,218712958.12271,12.674802561092,630208.465401115,178.094021982078,0.00725430408581751,24550.1180919973,184.621182308882
