"Scenario","Agents","PatientYears","CopdPYs","NCaseDetections","DiagnosedPYs","OverdiagnosedPYs","SABA","LAMA","LAMALABA","ICSLAMALABA","Mild","Moderate","Severe","VerySevere","MildPY","ModeratePY","SeverePY","VerySeverePY","NoCOPD","GOLD1","GOLD2","GOLD3","GOLD4","Cost","CostpAgent","QALY","QALYpAgent","NMB","IncrementalCosts","IncrementalQALY","ICER","IncrementalNMB"
"S3NoCD",17243525,260017880.24558,41691838.3900313,80059027,7819384.14256,5815322,0.0183575174217772,0.137156256672018,0.154366597029931,0.0863650846874626,9754415,1816466,3038101,261338,0.233964616977224,0.043568863119126,0.0728704014339272,0.00626832517086814,207433146,15294590,18682841,4808648,895345,43585079096.4942,2527.62002528452,173193983.206107,10.0440010500235,499672.432475891,0,0,NA,0
"S3a",17245589,260114350.889536,41778507.6419587,79305268,11012874.3912697,5816924,0.0210701415875502,0.143601112787989,0.204102307078173,0.090802566674972,9648241,1803612,3027939,260144,0.230937904309204,0.0431708096291264,0.0724759971310943,0.00622674228168777,207442211,15303706,18733677,4824249,900624,46423704300.026,2691.91758542001,173312928.019824,10.0496960712576,499792.885977462,164.297560135495,0.00569502123413557,28849.3323169204,120.453501571319
"S3b",17248093,260143538.873804,41765340.0149969,77789956,17179218.0534133,5809490,0.0272123567386269,0.156225870536493,0.292983388954392,0.0989344402695251,9481831,1779958,2992091,258625,0.227026309293671,0.0426180655864614,0.0716405277420372,0.00619233555639998,207483725,15287322,18724587,4837601,899769,48252461324.4413,2797.5534063065,173460430.655696,10.0567889247638,500041.892831884,269.93338102198,0.0127878747402992,21108.541216104,369.460355993011
"S3c",17249568,260123652.106259,41796963.3084409,78552778,14093542.3037528,5811921,0.0239564020668036,0.149872778444183,0.249488678363603,0.0947819160826065,9556493,1794042,3007246,258985,0.228640844778072,0.0429227833314315,0.0719489111639047,0.00619626354404789,207434647,15324709,18727689,4823824,902793,47056539449.2717,2727.98364859176,173385532.23841,10.0515869289254,499851.362797678,200.363623307239,0.00758587890187457,26412.7104978867,178.930321786494
"S3d",17250373,260166499.185349,41788450.6328664,78909896,12694598.7095123,5812281,0.0225871693478081,0.14720440466007,0.229100157335109,0.0931309605323503,9596955,1798651,3013620,260246,0.229655678893537,0.0430418207126676,0.0721160979734865,0.00622770157923294,207483596,15310784,18731510,4829309,900292,47356022542.0812,2745.21730875508,173385479.345343,10.0511147988129,499810.522631891,217.597283470555,0.00711374878941484,30588.2720787578,138.090156000166
