"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S3b",17246874,61869748507.0021,3587.30216890331,218763932.889481,12.6842657335747,13981.3886647681,602.14029102691
"S3c",17246125,60807623937.5119,3525.87169219241,218659411.906197,12.6787560629531,15373.4871485144,388.087236656924
"S1a",37197502,101593628148.474,2731.19491057422,530443726.842454,14.2601975488153,19321.3408439935,367.766318250448
"S3d",17255729,60941413667.9918,3531.66265348696,218712958.12271,12.674802561092,24550.1180919973,184.621182308882
"S1b",37190655,99147551250.5217,2665.92646057247,530160005.562289,14.25519409546,23817.8907300768,182.862100483035
"S2a",22077777,72055390303.5079,3263.70677190497,307521349.116734,13.9289996957907,26402.8154878035,155.704303606297
"S3a",17251608,60089152167.6302,3483.1044252588,218633446.064064,12.673221305751,22833.5414662006,154.116643485613
"S1c",37195162,99801217926.1646,2683.17739619375,530199954.883661,14.2545408159174,29000.466644741,132.947187735466
"S1NoCD",37197623,92978309018.8949,2499.57662668109,529999538.677107,14.2482098567725,NA,0
"S2NoCD",22074342,68198452610.1151,3089.48971661829,307327847.064593,13.9224012686128,NA,0
"S3NoCD",17254548,57864310923.5952,3353.56863150488,218572819.44283,12.6675482570062,NA,0
