"Scenario","Agents","PatientYears","CopdPYs","NCaseDetections","DiagnosedPYs","OverdiagnosedPYs","SABA","LAMA","LAMALABA","ICSLAMALABA","Mild","Moderate","Severe","VerySevere","MildPY","ModeratePY","SeverePY","VerySeverePY","NoCOPD","GOLD1","GOLD2","GOLD3","GOLD4","Cost","CostpAgent","QALY","QALYpAgent","NMB","IncrementalCosts","IncrementalQALY","ICER","IncrementalNMB"
"S1NoCD2",74391464,1251846696.14814,142153256.733341,381962757,26182069.7463905,26743570,0.00771979276276257,0.0742188215863004,0.0853701964414099,0.0417541505802671,31305666,5887378,9942880,860896,0.220224754039402,0.0414157096030791,0.0699447921805366,0.00605611169088385,1054878905,57678781,61422913,13727862,2371783,154495883918.815,2076.79585279858,932920248.555919,12.5406894607682,624957.677185613,0,0,NA,0
"S1NoCD",74388938,1251794381.74851,142120659.992543,249337054,26436101.7246321,32647198,0.00929529565115883,0.0742094704269119,0.0854069227593912,0.0418150569703929,31309814,5891563,9940655,858444,0.220304451172988,0.0414546555040564,0.0699451789804634,0.00604024777287864,1054860306,57686410,61403514,13712934,2367853,154557237172.945,2077.69113699331,932889289.719084,12.540699125441,624957.265135056,0,0,NA,0
"S1NoCDAvg",74390201,1251820538.94832,142136958.362942,315649905.5,26309085.7355113,29695384,0.0085075442069607,0.0742141460066062,0.0853885596004006,0.04178460377533,31307740,5889470.5,9941767.5,859670,0.220264602606195,0.0414351825535678,0.0699449855805,0.00604817973188125,1054869605.5,57682595.5,61413213.5,13720398,2369818,154526560545.88,2077.24348729586,932904769.137501,12.5406942930226,624957.471160334,0,0,NA,0
"S1a",74382169,1251794072.64034,142148937.521732,245520049,56731687.2512639,32661233,0.012877025358413,0.0847564889949004,0.147623270262837,0.0480431839848458,30843034,5825529,9851104,853312,0.21697688732485,0.0409818680432232,0.0693012847774113,0.00600294321489067,1054833385,57677991,61382395,13749886,2384330,166917704937,2244.05535871104,933238618.638058,12.5465367733234,625082.783307461,166.364221717733,0.00583764788244778,28498.5023193921,125.518172404729
"S1b",74386737,1251822912.96013,142173420.443641,247455752,41703307.708525,32659436,0.0109503115210774,0.0795943822810169,0.118314261069415,0.0450632449851071,31038852,5851050,9885407,857499,0.218316840821201,0.0411543169021486,0.0695306265345054,0.00603135942938028,1054836284,57706221,61393015,13737761,2382832,163918987275.938,2203.60502270638,933087576.404236,12.5437358060784,624983.185281213,125.913885713068,0.00303668063740581,41464.3160568357,25.920146157383
"S1c",74380210,1251614430.315,142136426.417509,248027895,36825069.0595068,32641994,0.0103912621941808,0.0777807545970915,0.108073376309562,0.0439638819276825,31124409,5859835,9907531,857117,0.218975598194482,0.0412268350041912,0.0697043766310672,0.00603024166009578,1054673377,57680567,61378975,13736552,2388766,165476605577.339,2224.73969322403,932875830.259704,12.5419897343622,624874.747024886,147.04855623072,0.00129060892120769,113937.346793728,-82.5181101702619
