"Scenario","Agents","PropAgents","Cost","CostpAgent","CostpAgentExcluded","CostpAgentAll","QALY","QALYpAgent","QALYpAgentExcluded","QALYpAgentAll","IncrementalCosts","IncrementalQALY","ICERAdj","ICER","INMB"
"S1NoCDAvg",74388586,1,159925565706.839,2149.86699312767,0,2149.86699312767,932654397.95218,12.5376008350553,0,12.5376008350553,0,0,NA,NA,0
"S1a",74386318,1,175298229824.161,2356.5923752828,0,2356.5923752828,932770789.000956,12.5395477835179,0,12.5395477835179,206.725382155124,0.00194694846261179,106179.175322292,125455.612451789,-109.37795902451
"S1b",74385413,1,170952563916.074,2298.20010431446,0,2298.20010431446,932704901.413961,12.5388145847084,0,12.5388145847084,148.33311118679,0.001213749653175,122210.631161682,162779.034763924,-87.6456285280874
"S1c",74390720,1,171904343831.839,2310.83048842435,0,2310.83048842435,932748271.542026,12.5385030759485,0,12.5385030759485,160.963495296681,0.000902240893260853,178404.122999714,270403.20268132,-115.851450633723
"S2NoCD",44157029,0.593599520765188,117807957834.59,2667.93216170838,1393.16700996411,2149.86699312767,541387058.854761,12.2604955794186,12.9423482587225,12.5376008350553,0,0,NA,NA,0
"S2a",44154576,0.59356654527618,124844786046.661,2827.44841772824,1393.16700996411,2244.50847012452,541466014.087624,12.2629648643353,12.9423482587225,12.5390890043981,94.6414769968451,0.00148816934282792,63595.9055687851,64600.1824018778,-20.2330098554958
"S3NoCD",34491937,0.463672437596811,99999943602.2554,2899.22666860534,1502.02143805571,2149.86699312767,387044338.939967,11.2212990224343,13.675586112814,12.5376008350553,0,0,NA,NA,0
"S3a",34494037,0.46370066773416,104115381915.72,3018.35885187112,1502.02143805571,2205.14810935221,387129436.181306,11.2230828818705,13.675586112814,12.5383587270053,55.2811162245339,0.000757891950012635,72940.6298927074,66783.3915914365,-17.3865187239135
"S3b",34509196,0.463904448997054,107308147372.611,3109.55222986393,1502.02143805571,2247.7621242753,387360806.316069,11.2248574645457,13.675586112814,12.5386821895978,97.8951311476294,0.00108135454249947,90530.0965595911,59106.0791995802,-43.8274040226825
"S3c",34504471,0.463840931188019,105270593424.191,3050.92616618268,1502.02143805571,2220.46684947165,387285272.489227,11.2242054801891,13.675586112814,12.538535437481,70.5998563439753,0.00093460242572263,75539.9883425166,52193.9454746539,-23.869735057815
"S3d",34501231,0.463797376118965,105602366017.679,3060.82893151492,1502.02143805571,2224.99226339667,387258904.837192,11.2244952893765,13.675586112814,12.5387766202744,75.1252702689999,0.00117578521914474,63893.701881748,50559.6891101007,-16.3360093117226
