"Scenario","Agents","PropAgents","Cost","CostpAgent","CostpAgentExcluded","CostpAgentAll","QALY","QALYpAgent","QALYpAgentExcluded","QALYpAgentAll","IncrementalCosts","IncrementalQALY","ICERAdj","ICER","INMB"
"S1NoCDAvg",371714,1,695218322.08626,1870.3043794053,0,1870.3043794053,4142060.1349278,11.1431372908414,0,11.1431372908414,0,0,NA,NA,0
"S1a",371902,1,783941051.716385,2107.92373183361,0,2107.92373183361,4149002.34966629,11.1561711140738,0,11.1561711140738,237.619352428317,0.0130338232324725,18230.9786000712,16895.7266361184,414.071809195448
"S1b",372140,1,767647958.736304,2062.79346142931,0,2062.79346142931,4147249.60892614,11.144326352787,0,11.144326352787,192.489082024015,0.00118906194560076,161883.140517765,79752.6245127743,-133.035984743969
"S1c",371919,1,764610989.425916,2055.85353108047,0,2055.85353108047,4147445.58699846,11.1514754207192,0,11.1514754207192,185.54915167517,0.00833812987784377,22253.0896488209,19731.6276167223,231.357342217118
"S2NoCD",219759,0.591204528212551,516117722.381891,2348.56239053641,1178.64235927985,1870.3043794053,2397883.72024661,10.9114244251503,11.4782429974742,11.1431372908414,0,0,NA,NA,1.16415321826935e-10
"S2a",221233,0.595169942482661,562547217.024389,2542.78166921024,1178.64235927985,1990.53707390946,2417048.49948546,10.9253524541342,11.4782429974742,11.1491791645953,120.232694504161,0.00604187375395071,19899.9018186274,13944.4912772068,181.860993193579
"S3NoCD",172154,0.463135636537768,431630005.938607,2507.23193151833,1320.84744511753,1870.3043794053,1729526.5369123,10.0463918172816,12.0892643716953,11.1431372908414,0,0,NA,NA,0
"S3a",172660,0.464496898152881,460928261.302202,2669.5717670694,1320.84744511753,1947.32570912752,1735995.17777395,10.0544143274293,12.0892643716953,11.1440828379275,77.021329722221,0.000945547086137921,81456.8950096541,20235.541315789,-29.7439754152438
"S3b",172336,0.463625260280753,474129705.246049,2751.19362899249,1320.84744511753,1983.99206690814,1732271.91910635,10.0517124634803,12.0892643716953,11.1446038379136,113.687687502841,0.00146654707222105,77520.6535516544,45851.8924884878,-40.3603338918183
"S3c",172314,0.46356607499314,467593585.703383,2713.61343653669,1320.84744511753,1966.48650914364,1734099.08599257,10.0635995101534,12.0892643716953,11.1502348625788,96.1821297383397,0.00709757173741998,13551.4135392596,11993.5604706604,258.696457132697
"S3d",172882,0.465094131509709,474794781.923325,2746.35174236372,1320.84744511753,1983.8411282086,1737496.10834776,10.0501851456355,12.0892643716953,11.1409005899715,113.536748803307,-0.00223670086983496,-50760.8104125629,63036.9397360368,-225.371792295016
