"Scenario","Agents","PatientYears","CopdPYs","NCaseDetections","DiagnosedPYs","OverdiagnosedPYs","SABA","LAMA","LAMALABA","ICSLAMALABA","Mild","Moderate","Severe","VerySevere","MildPY","ModeratePY","SeverePY","VerySeverePY","NoCOPD","GOLD1","GOLD2","GOLD3","GOLD4","Cost","CostpAgent","QALY","QALYpAgent","NMB","IncrementalCosts","IncrementalQALY","ICER","IncrementalNMB"
"S3NoCD",172589,2604636.66257459,418319.633614682,524971,79086.8900648602,71678,0.0222976913070162,0.138198545404855,0.154886741183977,0.0886010351881268,98302,18321,30122,2519,0.234992556171884,0.0437966533908271,0.0720071389901475,0.00602171114521551,2077411,152315,188388,48452,8801,495927340.490102,2873.45856624757,1939933.63937471,11.2401928244251,559136.18265501,0,0,NA,0
"S3a",172075,2593875.9606649,416479.332349672,520328,100059.702065099,71084,0.024217423705209,0.138495536011094,0.18471284678111,0.0877406989345903,95853,18110,30132,2463,0.230150676287396,0.0434835503068734,0.072349328428863,0.00591385888491602,2068677,154661,184797,48193,8843,513227946.678771,2982.58286606869,1932791.71716547,11.2322633570563,558630.584986748,109.124299821126,-0.00792946736880928,-13761.8700910945,-505.597668261616
"S3b",172244,2599095.52467771,416838.969036319,515542,147739.32672967,70668,0.0287205294458488,0.150823626321494,0.25612441129517,0.0960961772592419,96068,17750,29634,2637,0.2304678956051,0.0425823910874644,0.0710922015485025,0.00632618396043062,2073388,151932,188294,47494,9105,530444957.288757,3079.61355570445,1937428.07106715,11.2481600001576,559328.386452176,206.154989456883,0.00796717573247285,25875.5418958101,192.203797166818
"S3c",172360,2596737.77201787,415627.035805788,518155,123749.166278333,71073,0.0260714472027204,0.14502300930354,0.221814842628478,0.0923143993850678,97398,18105,30007,2525,0.234339904792699,0.0435606888875727,0.0721969395995247,0.00607515821271036,2072286,149841,187894,48929,8987,521713036.860427,3026.88000035059,1935156.91843596,11.2274130798095,558343.773990122,153.421434103021,-0.0127797446156954,-12005.0469486375,-792.408664887655
"S3d",172824,2607406.57876177,418637.59227339,521920,112493.813380775,71832,0.0253981555641208,0.139117107423963,0.202606180109432,0.0870614211817256,96697,18201,29913,2499,0.230980212443159,0.0434767453662257,0.0714532104906274,0.00596936358827526,2079581,153012,187885,48696,8930,521137298.355392,3015.42203834764,1942773.00700476,11.2413380491411,559051.480418707,141.963472100068,0.00114522471594825,123961.236710232,-84.7022363026626
