"Scenario","Agents","PropAgents","Cost","CostpAgent","CostpAgentExcluded","CostpAgentAll","QALY","QALYpAgent","QALYpAgentExcluded","QALYpAgentAll","IncrementalCosts","IncrementalQALY","ICERAdj","ICER","INMB"
"S1NoCDAvg",37197054,1,79930541440.821,2148.84061427017,0,2148.84061427017,466645458.453711,12.5452260864825,0,12.5452260864825,0,0,NA,NA,0
"S1a",37197502,1,87609315425.5502,2355.24728046389,0,2355.24728046389,467053611.148306,12.5560477461176,0,12.5560477461176,206.406666193722,0.0108216596351252,19073.4760797469,20089.6428297252,334.67631556245
"S1b",37190655,1,85474784067.1315,2298.28660095208,0,2298.28660095208,466807667.374783,12.5517463291459,0,12.5517463291459,149.44598668191,0.00652024266343787,22920.3105460975,25093.0398812956,176.566146490048
"S1c",37195162,1,86086185363.3803,2314.4457702155,0,2314.4457702155,466843146.799544,12.5511792850786,0,12.5511792850786,165.60515594533,0.00595319859612253,27817.8450242182,30805.4976534331,132.054773860844
"S2NoCD",22074342,0.593443287202261,58922537504.9946,2669.27718638203,1389.16908130145,2148.84064315472,270895360.188654,12.2719562915467,12.9441133485222,12.5452262551145,0,0,NA,NA,0.00840271473862231
"S2a",22077777,0.593535633225147,62347138313.8362,2823.97717459671,1389.16908130145,2240.77881151202,271063504.04804,12.2776629208656,12.9441133485222,12.5485512719299,91.9381683572924,0.00332501681541331,27650.4371139141,27108.8202105676,74.3210751280421
"S3NoCD",17254548,0.463868670889904,50064966232.8174,2901.55188260031,1497.58386473614,2148.84064315472,193797356.892219,11.2316681313367,13.6817359644516,12.5452262551145,0,0,NA,NA,0.00840271473862231
"S3a",17251608,0.463789632372499,52066304895.3422,3018.05518044128,1497.58386473614,2202.76269727995,193847859.558584,11.2365096377441,13.6817359644516,12.5476653453204,53.9220541252316,0.00243909020591815,22107.4456346044,24063.4397718265,68.0408588855062
"S3b",17246874,0.463662364229167,53626126689.0333,3109.32443114232,1497.58386473614,2244.88730628008,193956938.999034,11.2459184776925,13.6817359644516,12.5523390697101,96.0466631253616,0.00711281459564361,13503.3272460367,14580.1753413121,259.602469371515
"S3c",17246125,0.463642228225923,52687996543.3235,3055.06289345134,1497.58386473614,2219.6969120248,193867413.988793,11.2412158666827,13.6817359644516,12.5502077882919,70.8562688700772,0.00498153317740346,14223.78740575,16078.2641419832,178.228792714886
"S3d",17255729,0.463900420716114,52823751958.8562,3061.22980714731,1497.58386473614,2222.95987527172,193917113.914449,11.2378395554571,13.6817359644516,12.5480113921325,74.1192321170006,0.00278513701798921,26612.4185769907,25873.7564345888,65.146021497203
