"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S3b",34490012,105148327907.045,3048.66022972231,387682275.328547,11.2404215843285,18235.3074213056,337.225710379775
"S1a",74379940,171498669442.14,2305.71131735438,933611758.81753,12.551929442502,22836.4933987627,222.915652779164
"S2a",44153696,122347109538.207,2770.93699105521,541973646.059261,12.274706200343,24651.7012647021,150.423391381628
"S3a",34502169,102383685303.169,2967.45648956646,387606713.293023,11.234270903172,25167.2336721065,110.895392713253
"S1b",74381259,167548578854.129,2252.56443769161,933362687.769606,12.5483582869928,28964.6603648206,97.5047569818562
"S3c",34499834,103483452127.844,2999.53478407588,387570240.572876,11.2339740699296,34653.9550968972,63.9754360843217
"S3d",34498730,103779652247.467,3008.21659949415,387543900.488131,11.2335700615104,40678.7172022884,35.0931997059379
"S1c",74378642,168945523501.664,2271.42522313951,933242121.944226,12.5471788251287,44307.9007088676,19.6708783291979
"S1NoCD",74385048,157570221582.998,2118.3050333314,933065437.733833,12.5437230037659,NA,0
"S2NoCD",44161947,115909538934.094,2624.64739007305,541812856.191261,12.2687719404958,NA,0
"S3NoCD",34500676,98501757739.4126,2855.0674699653,387435871.263263,11.2298052149257,NA,0
