"Scenario","Agents","PropAgents","Cost","CostpAgent","CostpAgentExcluded","CostpAgentAll","QALY","QALYpAgent","QALYpAgentExcluded","QALYpAgentAll","IncrementalCosts","IncrementalQALY","ICERAdj","ICER","INMB"
"S1NoCDAvg",37197054,1,79930541440.821,2148.84061427017,0,2148.84061427017,466352936.438342,12.537361968764,0,12.537361968764,0,0,NA,NA,0
"S1a",37195779,1,90753454325.5885,2439.88583558335,0,2439.88583558335,466511424.376262,12.542052805945,0,12.542052805945,291.045221313176,0.00469083718102326,62045.4750573303,55225.1728822385,-56.503362261923
"S1b",37200476,1,87878153021.8125,2362.2857143498,0,2362.2857143498,466458268.887722,12.5390403307668,0,12.5390403307668,213.445100079627,0.00167836200276206,127174.649883853,94003.0870112122,-129.526999941561
"S1c",37192813,1,88797560537.4716,2387.49245821959,0,2387.49245821959,466325355.925408,12.5380501852712,0,12.5380501852712,238.651843949422,0.000688216507210626,346768.555315084,185067.555106979,-204.241018588888
"S2NoCD",22078563,0.593556763930821,58731887920.9201,2660.13181749736,1402.16728772077,2148.84064315472,270698654.532468,12.2607007771506,12.9413895808699,12.5373621372903,0,0,NA,NA,0.00839742925018072
"S2a",22077788,0.593535928947491,63840415722.8595,2891.61286098315,1402.16728772077,2286.20674966379,270769119.205,12.2643228209728,12.9413895808699,12.5395261325749,137.366106509064,0.0021639952846062,63478.0063922652,63908.9571649794,-29.1579448495759
"S3NoCD",17243525,0.463572330217334,49933527333.6569,2895.78420500779,1503.34379984433,2148.84064315472,193498381.453622,11.2215096074395,13.6745011363514,12.5373621372903,0,0,NA,NA,0.00839742925018072
"S3a",17245589,0.463627818482614,53097071420.885,3078.87839730408,1503.34379984433,2233.80546820848,193562097.495661,11.2238612143465,13.6745011363514,12.5383162954259,84.9648250537575,0.000954158135563432,89046.9010187558,77859.1829044328,-37.2485208463622
"S3b",17248093,0.463695135641656,55163743514.5954,3198.251743807,1503.34379984433,2289.26436882022,193591881.830173,11.2239586040134,13.6745011363514,12.5381964844232,140.4237256655,0.000834347132954605,168303.719302335,123506.721905099,-98.6979715885827
"S3c",17249568,0.463734789319606,53820717605.7799,3120.11973898592,1503.34379984433,2253.09904935917,193574318.033416,11.2219806335681,13.6745011363514,12.5371820576911,104.258406204442,-0.000180079599150673,-578957.342731581,476269.829526865,-113.253988732817
"S3d",17250373,0.463756430818419,54140141633.3456,3138.49107108267,1503.34379984433,2261.6538622163,193605071.924471,11.2232397481765,13.6745011363514,12.5377129039684,112.813219061578,0.000350766678103298,321618.973819273,140281.574137935,-95.2664877271745
