"Scenario","Agents","PatientYears","CopdPYs","NCaseDetections","DiagnosedPYs","OverdiagnosedPYs","SABA","LAMA","LAMALABA","ICSLAMALABA","Mild","Moderate","Severe","VerySevere","MildPY","ModeratePY","SeverePY","VerySeverePY","NoCOPD","GOLD1","GOLD2","GOLD3","GOLD4","Cost","CostpAgent","QALY","QALYpAgent","NMB","IncrementalCosts","IncrementalQALY","ICER","IncrementalNMB"
"S1NoCD2",37196486,625953635.838479,71118020.8847579,190966216,13166456.1704389,13371458,0.0171523229869794,0.135457495761723,0.151286050897898,0.0796452013453249,15396892,2883299,4850541,419077,0.216497756946157,0.0405424527304015,0.068204105508785,0.00589269772677008,527427474,28845970,30727603,6872520,1191666,92827349205.4231,2495.59458937662,529928094.955158,14.2467246759588,709840.639208566,0,0,NA,0
"S1NoCD",37197623,626035665.974114,71126459.5446315,124680042,13292032.1277742,16339249,0.0208652359262356,0.135486046438232,0.15129433978913,0.0795589532302743,15386115,2878926,4849649,418845,0.21632055213356,0.0404761606079027,0.0681834725227237,0.00588873680317487,527498259,28860429,30702229,6887202,1198050,92978309018.8949,2499.57662668109,529999538.677107,14.2482098567725,709910.916211943,0,0,NA,0
"S1NoCDAvg",37197054,625994650.906296,71122240.2146947,157823129,13229244.1491066,14855353.5,0.0190087794566075,0.135471771099978,0.151290195343514,0.0796020772877996,15391503.5,2881112.5,4850095,418961,0.216409154539858,0.0405093066691521,0.0681937890157543,0.00589071726497248,527462866.5,28853199.5,30714916,6879861,1194858,92902829112.159,2497.58563845852,529963816.816132,14.247467277715,709875.777710254,0,0,NA,0
"S1a",37197502,626089852.781592,71222083.952196,122776626,28487982.7184844,16327137,0.027780056749288,0.154140998252729,0.273217272186502,0.0911565534267491,14992350,2827989,4776515,413886,0.210501422705671,0.0397066309081624,0.0670650833975313,0.00581120316948039,527456443,28870190,30752817,6907934,1206659,101593628148.474,2731.19491057422,530443726.842454,14.2601975488153,710278.682530193,231.618283893131,0.0119876920428705,19321.3408439935,367.766318250448
"S1b",37190655,625992698.014129,71214502.2789584,123717512,20974577.9720441,16327973,0.024055343673977,0.144780213608532,0.215751485560705,0.085624747115764,15197291,2852978,4811387,417126,0.213401631882082,0.0400617558039574,0.0675618988552786,0.00585731819575248,527372066,28861102,30747408,6915037,1207305,99147551250.5217,2665.92646057247,530160005.562289,14.25519409546,710093.778312426,166.349833891377,0.00698423868748854,23817.8907300768,182.862100483035
"S1c",37195162,626110981.941873,71210037.1648892,124047387,18535585.0615731,16324587,0.0229349137974298,0.142216288837683,0.196258740261527,0.0839633650967104,15221449,2863867,4834566,417049,0.213754262826099,0.0402171816505112,0.0678916370848874,0.00585660416149354,527490541,28868640,30764128,6896850,1196858,99801217926.1646,2683.17739619375,530199954.883661,14.2545408159174,710043.863399678,183.600769512658,0.00633095914496096,29000.466644741,132.947187735466
