"","Scenario","DiagnosedpPYAll","Agents","DiagnosedPYs","AdjDiagnosedPYs","AdjDivideByPYAll"
"1","S1a",0.462873813041144,743762,659857.06142572,887.188457363673,1916.69615426011
"2","S1NoCDAvg",0.186303882840628,743240,264401.460861501,355.741699668345,1909.47013150908
